Watershed,Site,Tot_inv_abun,FBI,Family_Shannon,Family_Richness,Family_Eveness,EPT,FFG_Pred,FFG_Graze,FFG_Collect_Gath,FFG_Collect_Filt,FFG_Shredder,N_Uptake,N_Uptake_Cat,N_Distance,N_Rate,N_Q,Water_Cat,pH,Temp,DO_per,DO_ppm,SPC,TDS,PO4,NO3,NH3,BOD,TSS,Discharge,Chloride,Imper_Catch,Imper_5m,Arsenic,Mercury,Lead,Wetland,Forest,Grass,Agricultural,Mat_Tree_D,Sap_Tree_D,Tot_Tree_D,Invas_Shrub_D,Mature_Helio_IV,Mature_Inter_IV,Mature_Meso_IV,Sapling_Helio_IV,Sapling_Inter_IV,Sapling_Meso_IV,Mature_rich,Mature_Shan_H,Mature_Shan_E,Sapling_Rich,Sapling_Shan_H,Sapling_Shan_E,ACNE_MD,ACNE_MI
Rock River,RBlackT2,64,NA,1.045438715,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock River,RESouthParkM1,163,NA,0.8076372318,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock River,RIFAC,134,NA,1.66175406,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock River,RWSouthParkM1,652,NA,2.346975647,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
