Watershed,Site,Tot_inv_abun,FBI,Family_Shannon,Family_Richness,Family_Eveness,EPT,FFG_Pred,FFG_Graze,FFG_Collect_Gath,FFG_Collect_Filt,FFG_Shredder,N_Uptake,N_Uptake_Cat,N_Distance,N_Rate,N_Q,Water_Cat,pH,Temp,DO_per,DO_ppm,SPC,TDS,PO4,NO3,NH3,BOD,TSS,Discharge,Chloride,Imper_Catch,Imper_5m,Arsenic,Mercury,Lead,Wetland,Forest,Grass,Agricultural,Mat_Tree_D,Sap_Tree_D,Tot_Tree_D,Invas_Shrub_D,Mature_Helio_IV,Mature_Inter_IV,Mature_Meso_IV,Sapling_Helio_IV,Sapling_Inter_IV,Sapling_Meso_IV,Mature_rich,Mature_Shan_H,Mature_Shan_E,Sapling_Rich,Sapling_Shan_H,Sapling_Shan_E,ACNE_MD,ACNE_MI
Blackhawk,BH1,5.6,6.5595,1.42771,8,0.6866,0.25001,0.1,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,8.1,19.68,99.76,8.62,588.77,461.3,0.2047,2.6014,0.078,1.888,431,0.3432,37.38,7,6,0.4333,9,2.4333,0.39,34.2,24.7,27.8,33.95,230.22,264.17,429.63,0.45,0.55,0,0.63,0.37,0,4,1.31,0.94,5,1.41,0.87,0,0
Blackhawk,BH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8.29,19.62,94.64,8.38,652,487.4,0.17,2.68,0.09,2.02,390.6,0.2564,30.04,7,5,0.1,0.67,0,0,34,25,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackhawk,BH3,31.2,5.02,1.81,20,0.6,0.56,0.29,0.26,0.33,0.08,NA,NA,NA,NA,NA,NA,1,8.18,19.7,93.98,8.09,615.38,464.2,0.17,2.19,0.1,2.04,367.2,0.2181,28.36,6,5,0.43,5,1.1,0.003,32.5,25.4,31.5,185.75,317.17,502.92,1461,0.2,0.79,0,0.32,0.68,0,7,1.68,0.86,7,1.64,0.84,74.299,0.289
Blackhawk,BH4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8.21,18.16,96.32,8.57,721.3,543.9,0.32,4.76,0.19,1.7,452,0.04427,46.8,5,5,0.53,0,1.53,0,32,25,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackhawk,BH5,8.33,7.08,2.31,21,0.76,0.064,0.18,0.22,0.67,0.04,NA,NA,NA,NA,NA,NA,2,7.92,18.45,79.5,7.31,434,429.43,0.15,2.58,0.18,3.86,275.5,0.1591,31.51,6,4,0.33,0.1,0,0,24,30,39,396.81,137.69,534.5,4668.19,0.43,0.5,0.06,0.37,0.42,0.19,12,1.65,0.66,13,2.03,0.79,0,0
