Watershed,Site,Tot_inv_abun,FBI,Family_Shannon,Family_Richness,Family_Eveness,EPT,FFG_Pred,FFG_Graze,FFG_Collect_Gath,FFG_Collect_Filt,FFG_Shredder,N_Uptake,N_Uptake_Cat,N_Distance,N_Rate,N_Q,Water_Cat,pH,Temp,DO_per,DO_ppm,SPC,TDS,PO4,NO3,NH3,BOD,TSS,Discharge,Chloride,Imper_Catch,Imper_5m,Arsenic,Mercury,Lead,Wetland,Forest,Grass,Agricultural,Mat_Tree_D,Sap_Tree_D,Tot_Tree_D,Invas_Shrub_D,Mature_Helio_IV,Mature_Inter_IV,Mature_Meso_IV,Sapling_Helio_IV,Sapling_Inter_IV,Sapling_Meso_IV,Mature_rich,Mature_Shan_H,Mature_Shan_E,Sapling_Rich,Sapling_Shan_H,Sapling_Shan_E,ACNE_MD,ACNE_MI
Kickapoo,KDogM18,41.07,7.49,2.02,31,0.59,0.001,0.13,0.25,0.57,0.05,NA,NA,NA,NA,NA,NA,4,7.38,13.8,72.5,7.38,547,356,0.08,11.4,0,0.92,480,0.143,44.88,5.26,1.2,NA,NA,NA,0.001,0.7,11.2,82.69999999999999,36.06,46.01,82.08,149.7,0.39,0.59,0.02,0.54,0.39,0.07,11,1.8,0.75,13,2.17,0.85,0,0
Kickapoo,KDogM4,25.87,5,1.86,24,0.58,0.561,0.07,0.13,0.36,0.51,NA,NA,NA,NA,NA,NA,4,7.785,15.5,97.4,9.74,535.8,378.05,0.08,3.13,0,0.71,504,0.226,36.49,4.42,0.5,NA,NA,NA,0.001,40.8,27.6,26.3,443.81,228.73,672.54,1179.6,0.35,0.23,0.42,0.03,0.71,0.26,13,1.96,0.77,12,2.05,0.82,0,0
Kickapoo,KDogM9,36,4.59,1.9,23,0.61,0.572,0.06,0.24,0.53,0.4,NA,NA,NA,NA,NA,NA,4,7.93499999999999,15.4,96.2,9.61,517.5,337.5,0.07,4.52,0,0.83,540,0.281,30.27,2.41,0,NA,NA,NA,0.001,36.5,22.5,38.7,135.82,102.47,238.29,164,0.23,0.46,0.31,0.04,0.95,0.01,15,2.39,0.88,14,2.18,0.83,5.905,0.037
